authority_code,statutory_ref,act_treaty,entry_class
"265203","","NA","Ciri-Nom Outsde Reg Pool"
"265204","","NA","Ciri-GSA Pool"
"265206","","NA","Ciri-From State Thru US"
"265207","","NA","Cni-Anilca Federal Offer"
"265208","","NA","Cni-12c/14h8 Anilca Exch"
"265209","","NA","Ciri-Dfncy Recon To Vlg"
"265210","","NA","Ciri-Misc & Coal/o&g"
"265211","","NA","Lieu Selection Sur-AK"
"265301","85 Stat. 688","December 18, 1971","Cemetery-Historic Site-AK"
"265302","85 Stat. 688","December 18, 1971","Native Group Selection-AK"
"265303","85 Stat. 688","December 18, 1971","Four Cities Selection-AK"
"265304","","NA","Four Cities Nom -AK"
"265305","","NA","Four Cities Wdl -AK"
"265306","","NA","Nppr-AK"
"265308","","NA","Ancsa 14(h)(8) Sel-AK"
"265311","","NA","Reg Sse -14h5 & 14h6-AK"
"265400","","NA","Native Res-AK;ancsa 19b"
"265501","","NA","Det Area Ancsa Sec 3(e)"
"265502","","NA","Ciri 3(e)/arta-AK"
"265600","","NA","Barrow Gfta"
"265701","","NA","Aleut-Attu Is Restituton"
"265800","96 Stat. 2559","January 14, 1983","Alaska Railroad Transfer"
"266001","30 Stat. 11","June 4, 1897","Forest Lieu Selection-Non"
"266002","41 Stat. 1239","March 3, 1921","New Mexico-Lieu Selection"
"267001","9 Stat. 631","March 3, 1851","Grant-Spanish/Mexican"
"268001","Various Statutes","NA","Pvt-Lieu Selection"
"270001","94 Stat. 3381","December 23, 1980","Sale-Santini-Burton Act-Nevad"
"270002","52 Stat. 29","February 14, 1938","Sale-Public Lands-New Mexico"
"270003","41 Stat. 553","April 15, 1920","Sale-Public Lands-Utah"
"270004","Various Statutes","NA","Sale-Public Lands-Nevada"
"270005","Various Statutes","NA","Sale-Public Lands-Montana"
"270006","Various Statutes","NA","Sale-Public Lands-IDO"
"270007","","NA","Sale-Specific Public Land-AK"
"270008","Various Statutes","NA","Sale-Public Lands-Arizona"
"270009","Various Statutes","NA","Sale-Public Lands California"
